rilis;pubid;judul_pre;judul;link
2020/09/11;9be50cc9f599cb49f88edfd0;Laporan Sosial Ekonomi Kalimantan Tengah Edisi September 2020;Laporan-Sosial-Ekonomi-Kalimantan-Tengah-Edisi-September-2020;https://kalteng.bps.go.id/publication/2020/09/11/9be50cc9f599cb49f88edfd0/Laporan-Sosial-Ekonomi-Kalimantan-Tengah-Edisi-September-2020
2020/09/07;c95ecd5e62251f760942e4d7;Direktori Perusahaan Industri Manufaktur Besar dan Sedang Provinsi Kalimantan Tengah 2019;Direktori-Perusahaan-Industri-Manufaktur-Besar-dan-Sedang-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/09/07/c95ecd5e62251f760942e4d7/Direktori-Perusahaan-Industri-Manufaktur-Besar-dan-Sedang-Provinsi-Kalimantan-Tengah-2019
2020/09/04;6fd8c2162d772e9e63add4dc;Potret Ekonomi Provinsi Kalimantan Tengah 2019;Potret-Ekonomi-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/09/04/6fd8c2162d772e9e63add4dc/Potret-Ekonomi-Provinsi-Kalimantan-Tengah-2019
2020/08/31;6535d7c289d8248987f67d6b;Master File Desa Provinsi Kalimantan Tengah Juni 2020;Master-File-Desa-Provinsi-Kalimantan-Tengah-Juni-2020;https://kalteng.bps.go.id/publication/2020/08/31/6535d7c289d8248987f67d6b/Master-File-Desa-Provinsi-Kalimantan-Tengah-Juni-2020
2020/08/28;463e722aaafee6d961335280;Statistik Sayur dan Buah-buahan Provinsi Kalimantan Tengah 2019;Statistik-Sayur-dan-Buah-buahan-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/08/28/463e722aaafee6d961335280/Statistik-Sayur-dan-Buah-buahan-Provinsi-Kalimantan-Tengah-2019
2020/08/28;16481ae4ef84fc9b8ede2f6c;Statistik Tanaman Obat-obatan dan Tanaman Hias Provinsi Kalimantan Tengah 2019;Statistik-Tanaman-Obat-obatan-dan-Tanaman-Hias-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/08/28/16481ae4ef84fc9b8ede2f6c/Statistik-Tanaman-Obat-obatan-dan-Tanaman-Hias-Provinsi-Kalimantan-Tengah-2019
2020/08/21;99a98fd97b04ae305445ed89;Profil Anak Yang Bekerja Provinsi Kalimantan Tengah 2019;Profil-Anak-Yang-Bekerja-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/08/21/99a98fd97b04ae305445ed89/Profil-Anak-Yang-Bekerja-Provinsi-Kalimantan-Tengah-2019
2020/08/21;7c5aed4d5318d12a203750e1;Statistik Alat dan Mesin Pertanian Provinsi Kalimantan Tengah 2019;Statistik-Alat-dan-Mesin-Pertanian-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/08/21/7c5aed4d5318d12a203750e1/Statistik-Alat-dan-Mesin-Pertanian-Provinsi-Kalimantan-Tengah-2019
2020/08/21;10bc63297677715ac3b50c0c;Profil Penduduk Lanjut Usia Kalimantan Tengah 2019;Profil-Penduduk-Lanjut-Usia-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/08/21/10bc63297677715ac3b50c0c/Profil-Penduduk-Lanjut-Usia-Kalimantan-Tengah-2019
2020/08/14;f0177c5d26b38f3dea378a7e;Statistik Jasa Transportasi Provinsi Kalimantan Tengah 2019;Statistik-Jasa-Transportasi-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/08/14/f0177c5d26b38f3dea378a7e/Statistik-Jasa-Transportasi-Provinsi-Kalimantan-Tengah-2019
2020/08/14;dce8ad23dbdf4a8b6f89235e;Indeks Pembangunan Gender Provinsi Kalimantan Tengah 2019;Indeks-Pembangunan-Gender-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/08/14/dce8ad23dbdf4a8b6f89235e/Indeks-Pembangunan-Gender-Provinsi-Kalimantan-Tengah-2019
